,t,r,velocity,theta,tau
616,1100.0030341501983,6.306302661125832,-3.873308372671189,30.800000000000303,1030.1735056188013
617,1102.004037781938,6.115764049707829,-3.744805413392177,30.850000000000303,1032.0436341143861
618,1103.8905493341979,5.931774744828664,-3.61176327929842,30.900000000000304,1033.8029316955556
619,1105.6699594321979,5.7545150457718135,-3.4760017060102473,30.950000000000305,1035.4586538661563
620,1107.3493565649349,5.584081359168649,-3.3390594443866197,31.000000000000306,1037.017752097447
621,1108.9354947530567,5.420499624338872,-3.2022197631648064,31.050000000000306,1038.48684290632
622,1110.4347740163748,5.2637374260923595,-3.066537174214031,31.100000000000307,1039.8721894908622
623,1111.8532311183221,5.113714768127191,-2.9328640797038794,31.150000000000308,1041.1796934273502
624,1113.1965383917584,4.970313535279452,-2.8018764255247883,31.20000000000031,1042.4148942592994
625,1114.4700087733204,4.833385710589578,-2.6740977569637097,31.25000000000031,1043.582975130666
626,1115.6786054770648,4.702760437000253,-2.549921316322408,31.30000000000031,1044.6887729170567
627,1116.826955013817,4.578250026690242,-2.429630006291668,31.35000000000031,1045.736791582401
628,1117.919362506348,4.4596550263187265,-2.313414177019384,31.40000000000031,1046.7312177300896
629,1118.9598284613576,4.346768446067819,-2.201387288406779,31.450000000000312,1047.6759375262761
630,1119.952066338412,4.239379256132734,-2.0935995609158162,31.500000000000313,1048.5745543501425
631,1120.8995204058726,4.13727524761899,-1.9900497656152625,31.550000000000313,1049.4304066738705
632,1121.805383497518,4.0402453467169,-1.8906953236307034,31.600000000000314,1050.246585796954
633,1122.6726143842786,3.948081462304031,-1.7954608916860832,31.650000000000315,1051.0259531586034
634,1123.5039545565523,3.860579938318104,-1.7042456080334731,31.700000000000315,1051.7711570316108
635,1124.3019442769776,3.7775426737113813,-1.6169291648306656,31.750000000000316,1052.4846484641962
636,1125.0689378141033,3.6987779647752093,-1.5333768612351264,31.800000000000317,1053.1686963858315
637,1125.8071178065504,3.624101117243855,-1.4534437778068288,31.850000000000318,1053.8254018312318
638,1126.5185087371206,3.553334868912939,-1.376978198431579,31.90000000000032,1054.4567112657635
639,1127.2049895186742,3.4863096575534755,-1.3038243916958738,31.95000000000032,1055.064429017181
640,1127.8683052099877,3.422863763648727,-1.2338248499875484,32.00000000000032,1055.650228834406
641,1128.5100778914482,3.362843352887713,-1.166822071880521,32.05000000000032,1056.2156646052092
642,1129.1318167383913,3.3061024393647376,-1.1026599617552144,32.100000000000314,1056.7621802721878
643,1129.73492733497,3.2525027870010543,-1.0411849101738933,32.15000000000031,1057.2911189911604
644,1130.3207202743226,3.201913763764014,-0.9822466092672666,32.20000000000031,1057.8037315786894
645,1130.8904190920437,3.154212160753318,-0.9256986492455317,32.250000000000306,1058.3011842964415
646,1131.4451675799664,3.109281986099179,-0.8713989350467224,32.3000000000003,1058.7845660198955
647,1131.986036526392,3.067014241823278,-0.8192099559867626,32.3500000000003,1059.2548948378728
648,1132.514029927391,3.027306690305318,-0.7689989359825199,32.4000000000003,1059.7131241277311
649,1133.0300907119022,2.990063615735177,-0.7206378873853427,32.450000000000294,1060.1601481490384
650,1133.5351060211606,2.955195584877676,-0.6740035875961751,32.50000000000029,1060.5968071962825
651,1134.0299120806878,2.9226192106024036,-0.6289774943488923,32.55000000000029,1061.0238923487916
